Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
"Guns, Gore and Cannoli 2","12,99 €*","• Acción, Arcade, Plataformas",02-08-2018,"La historia de Vinnie Cannoli continúa y, en esta ocasión, se trata de algo personal."
Iconoclasts,"19,99 €4,99 €*","• Acción, Aventura",02-08-2018,"Explora un mundo enorme repleto de puzles complejos, personajes interesantes y jefes temibles."
Salt and Sanctuary,"14,99 €*","• Acción, Rol (RPG)",02-08-2018,"Explora un reino maldito en el que encontrarás ciudades olvidadas, mazmorras y monumento profanados."
Eekeemoo - Splinters of the Dark Shard,"4,99 €*","• Acción, Aventura",02-08-2018,¡Ayuda a Eekeemoo a rescatar a sus amigos de las garras del malvado Dark Shard!
Kenshō,"14,99 €*",• Puzle,02-08-2018,Restaura el equilibrio natural
ACA NEOGEO PREHISTORIC ISLE 2,"6,99 €*","• Arcade, Disparos (Shooter)",02-08-2018,¿¡Armas modernas contra dinosaurios!?
Mi Granja de Caballos,"19,99 €*","• Estilo de vida, Simulación",02-08-2018,¡Haz tus sueños realidad!
NOT A HERO: SUPER SNAZZY EDITION,"12,99 €*","• Acción, Arcade",02-08-2018,"¡Dispara, deslízate, agáchate y protégete!"
GREEN,"2,99 €*",• Acción,02-08-2018,¡Adéntrate en un mundo onírico para encontrar a tu amada!
Road To Ballhalla,"14,99 €*","• Acción, Arcade, Puzle",02-08-2018,Prepara tus bolas para un viaje épico a Ballhalla.
Ayakashi Koi Gikyoku -Forbidden Romance with Mysterious Spirit-,"24,99 €*",• Aventura,02-08-2018,¡Libérate de las cadenas del destino y toca la canción del amor!
PICROSS S2,"8,99 €*",• Puzle,02-08-2018,¡Descubre el nuevo modo de la serie Picross S!
Catch 'Em! Goldfish Scooping,"6,99 €*",• Fiesta,02-08-2018,¡Un juego veraniego muy tradicional!
State of Anarchy: Master of Mayhem,"7,99 €*","• Acción, Disparos (Shooter)",01-08-2018,¡Prepárate para una lluvia de balas y una buena dosis de conducción temeraria!
Titan Quest,"39,99 €*","• Acción, Rol (RPG)",31-07-2018,¡Los titanes han escapado de su prisión milenaria y están sembrando el caos!
Code of Princess EX,"39,99 €*","• Acción, Aventura, Rol (RPG)",31-07-2018,¡Un juego que aúna acción pura al estilo hack-and slash con la mecánica de los juegos de rol!
GO VACATION,"49,99 €*","• Carreras, Deportes, Deportes extremos, Fiesta, Football Fútbol, Tenis",27-07-2018,¡Un complejo vacacional al completo al alcance de tu mano con GO VACATION para Nintendo Switch!
"Final Light, The Prison","6,99 €*","• Acción, Plataformas, Rol (RPG)",27-07-2018,Libera las almas de una prisión secreta.
Spheroids,"7,99 €*","• Acción, Aventura, Plataformas",27-07-2018,Salva al mundo de unos peligrosos alienígenas: los Spheroids
Hello Neighbor,"39,99 €*","• Acción, Puzle",27-07-2018,Enfréntate a un inteligencia artificail superavanzada que aprende de tus movimientos.
Element,"11,99 €*","• Acción, Estrategia",27-07-2018,El futuro está ahí fuera…
Candle: The Power of the Flame,"19,99 €2,99 €*","• Aventura, Plataformas, Puzle",26-07-2018,Una aventura llena de puzles y desafíos
Banner Saga 3,"24,99 €*","• Estrategia, Rol (RPG)",26-07-2018,Tu saga termina ahora
NoReload Heroes,"9,99 €*","• Arcade, Disparos (Shooter)",26-07-2018,¡Aúna fuerzas con tus compañeros para derrotar a la amenaza maléfica que habéis creado por accidente!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Arcade Archives OMEGA FIGHTER,"6,99 €*","• Arcade, Disparos (Shooter)",26-07-2018,¡Consigue la puntuación más alta a medida que el enemigo se acerca peligrosamente!
Chicken Assassin: Reloaded,"7,79 €*","• Acción, Arcade, Rol (RPG)",26-07-2018,"Ponte en la piel de Mean Mcallister, el pollo más duro de toda la ciudad, y enfréntate a cientos de enemigos."
Crossing Souls,"14,99 €*","• Acción, Arcade, Aventura",26-07-2018,"¡Combate en tiempo real, resuelve puzles intrincados y enfréntate a jefes temibles!"
Piczle Lines DX 500 Puzles Más!,"9,99 €*",• Puzle,26-07-2018,¿Te ha picado el gusanillo de los puzles? ¡Pues disfruta de 500 puzles nuevos de Pizcle Lines! Incluye también el arte de Pizcle.
ACA NEOGEO THE KING OF FIGHTERS '97,"6,99 €*","• Arcade, Lucha",26-07-2018,¡29 personajes y dos modos de juego disponibles!
Mega Man X Legacy Collection,"19,99 €*",• Acción,24-07-2018,¡La experiencia definitiva de Mega Man X!
Mega Man X Legacy Collection 2,"19,99 €*",• Acción,24-07-2018,¡La experiencia definitiva de Mega Man X!
Bud Spencer & Terence Hill - Slaps And Beans,"20,00 €*","• Acción, Arcade",24-07-2018,¡El primer videojuego OFICIAL de Bud Spencer y Terence Hill!
Semblance,"9,99 €*","• Aventura, Plataformas, Puzle",24-07-2018,Dale forma al mundo.
Pool Panic,"12,19 €*","• Aventura, Fiesta, Puzle",23-07-2018,¡El simulador de billar menos realista del mundo!
Zaccaria Pinball,"0,00 €*","• Arcade, Simulación",23-07-2018,"La empresa Zaccaria fue fundada por tres hermanos (Marino, Francisco y Natale) y fue, en su momento, la tercera empresa manufacturera de máquinas de pinball más importante del mundo, por detrás de Bally & Williams."
Heroki,"9,99 €*","• Acción, Aventura, Plataformas",20-07-2018,¡CONVIÉRTETE EN EL NUEVO HÉROE DE LOS CIELOS!
Cartoon Network Hora de aventuras: Piratas del Enchiridión,"24,99 €*","• Acción, Aventura, Rol (RPG)",20-07-2018,"El Pais de Ooo está inundado, ¡y Finn y Jake tendrán que descubrir el por qué!"
VSR: Void Space Racing,"4,99 €*","• Arcade, Carreras",20-07-2018,¡Carreras de alta velocidad libres de fricción!
Werewolf Pinball,"2,99 €*","• Arcade, Simulación",20-07-2018,¡Disfruta de Werewolf Pinball!
Touhou Genso Wanderer Reloaded,"49,99 €*",• Rol (RPG),20-07-2018,¿Qué misterios aguardan en la Tower of Desire?
Arcade Archives Sky Skipper,"6,99 €*","• Acción, Arcade, Disparos (Shooter)",20-07-2018,¡Surca los cielos con tu biplano para salvar al rey y a los animales!
Tanzia,"19,99 €*","• Acción, Aventura, Rol (RPG)",19-07-2018,Desenmaraña el misterio de la desaparición de tu abuelo mientras previenes que un ser maligno destruya la isla que consideras tu hogar.
Frost,"12,99 €*","• Estrategia, Tablero",19-07-2018,"Construye tu mazo, sobrevive a la tormenta."
