Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Bunny Memory,"2,10 €*","• Puzle, Tablero",23-03-2022,Recoge puntos de memoria para desbloquear fragmentos de recuerdos.
Chippy,"19,99 €*","• Arcade, Disparos (Shooter)",23-03-2022,Chip apart destructible bosses in this bullet-hell shooter
Thunder Kid: Hunt for the Robot Emperor,"7,99 €*","• Acción, Arcade, Disparos (Shooter)",23-03-2022,¡Enfréntate a las fuerzas del Imperio Robot en una experiencia de acción frenética y disparos entre gráficos simples!
Kraken Academy!!,"16,99 €5,09 €*",• Aventura,22-03-2022,Es tu primer día de clase en un nuevo instituto y ya tienes que salvar el mundo de una catástrofe inminente.
A Place for the Unwilling,"14,99 €*","• Aventura, Otros, Rol (RPG)",22-03-2022,La ciudad está hambrienta. Nos devorará a todos. Sueña con cautela.
Rattyvity Lab,"2,49 €*","• Arcade, Plataformas, Puzle",20-03-2022,"Rattyvity Lab is Physics Based Platform,Puzzle Game"
Jumpy Mia,"8,99 €*","• Arcade, Aventura, Otros, Plataformas",19-03-2022,Defeat your enemies with a super jump and try 100 levels!
#1 Pastime Bundle,"7,99 €*","• Educativo, Otros, Puzle, Tablero",18-03-2022,"Disfruta de 3 grandes juegos en 1 con este pack que incluye #1 Crosswords, #1 Anagrams y #1 Sudokus. #1 Crosswords En #1 Crosswords encontrarás un modo historia con 100 crucigramas a resolver de todos los niveles de dificultad."
Who Pressed Mute on Uncle Marcus?,"12,99 €*","• Aventura, Otros",18-03-2022,Una excéntrica película interactiva de crimen y misterio con un giro inesperado
Jumping Bricks Ball,"3,99 €*",• Arcade,18-03-2022,"Juega a este emocionante juego en el que la pelota rebota contra los ladrillos que se desplazan por la pantalla, renovando el famoso juego de romper ladrillos."
Sea Battle Minimal,"4,99 €*","• Estrategia, Puzle, Tablero",18-03-2022,"Classic strategy game - conquer leaderboard, challenge your friends and AI!"
Royal Frontier,"6,99 €*","• Aventura, Rol (RPG)",18-03-2022,"Protege la caravana, lucha contra bandidos, consigue oro, recompensas y experiencia, y sobrevive otro día."
Inukari - Chase of Deception,"7,99 €1,99 €*","• Acción, Arcade, Aventura, Plataformas",18-03-2022,Eres un dios de un antiguo bosque. Responde a la llamada y salta y corre para ayudar a la humanidad en este trepidante juego de plataformas retro.
Car Driver Ultimate,"13,99 €*","• Acción, Carreras, Deportes, Simulación",18-03-2022,"Drive around a huge airport! Discover areas around it with an international race track, off-road section and more! Drive cars & buses! Prove you're a versatile driver!"
Fingun,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",18-03-2022,Blast your way through battalions of anime bosses.
TRIVIAL PURSUIT Live! 2,"19,99 €*",• Tablero,17-03-2022,"Trivial Pursuit Live! 2 está disponible en inglés, francés, alemán, español y ruso."
Gal*Gun Double Peace,"39,99 €*","• Acción, Acción en primera persona (FPS), Arcade, Disparos (Shooter)",17-03-2022,¡El juego de disparos más extravagante de Japón ya está aquí! Enfréntate a hordas de chicas que compiten por tu atención para encontrar a tu amor verdadero.
WRC 10 FIA World Rally Championship,"49,99 €*","• Carreras, Deportes, Simulación",17-03-2022,"Para celebrar el 50.º aniversario del campeonato, WRC 10 ofrece una nueva edición Aniversario, repleta de nuevos contenidos y sensaciones. ¡Revive los momentos más intensos desde 1973 hasta hoy!"
Boxing Gym Story,"13,00 €*","• Deportes, Estrategia, Lucha, Simulación",17-03-2022,"¡Crea tu gimnasio, entrena boxeadores y apunta al campeonato!"
The Wake,"6,99 €*","• Aventura, Puzle, Simulación",17-03-2022,Explore a generational curse that has swallowed a man and his life.
Adios,"13,99 €*","• Aventura, Simulación",17-03-2022,"A pig farmer decides he no longer wants to dispose of bodies for the mob. What follows is a discussion between you, and the hitman who will have to kill you if he can't convince you to stay."
Dark Deity,"24,99 €6,24 €*","• Aventura, Estrategia, Rol (RPG), Simulación",17-03-2022,"Sumérgete en el mundo de Terrazael y lidera a futuros héroes legendarios para reparar una tierra fracturada por juramentos rotos, guerras insensatas y magia desenfrenada."
Clutter 1000,"9,99 €0,99 €*","• Aventura, Puzle",17-03-2022,Get ready for the best Clutter of them all. The ultimate hidden object game!
Persona 4 Arena Ultimax,"29,99 €*",• Lucha,17-03-2022,¡Un juego de lucha de Persona 4!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Wordbreaker by POWGI,"7,99 €*","• Educativo, Puzle, Tablero",17-03-2022,
Arcade Archives ROLLING THUNDER,"6,99 €*","• Acción, Arcade",17-03-2022,This battle begins when you go in with guns blazing!
LOST EGG 2: Be together,"2,63 €*","• Acción, Aventura, Otros",17-03-2022,"A hard action adventure game about the fragility, bravery, and sometimes friendship of raw eggs."
Kurokami-sama's Feast,"9,99 €*",• Aventura,17-03-2022,"""You have been chosen―obey or face her wrath."""
異世界娘と婚活中 ～ Isekai Bride Hunting ～,"17,85 €*","• Aventura, Otros, Simulación",17-03-2022,"In a universe where the earth has merged with another world, the hunt for a bride from another world has begun?!"
The Ramp,"4,99 €1,24 €*","• Deportes, Simulación",17-03-2022,"The Ramp es un juguete digital minimalista de vert skateboarding que es todo flow, nada más."
Handball Pelota,"4,99 €*",• Deportes,16-03-2022,"Descubre el famoso juego de pelota a mano. Si conoces la pelota, disfrutarás de una simulación realista y muy jugable de este deporte."
Wife Quest,"7,99 €*","• Acción, Aventura, Plataformas",16-03-2022,¡Castiga a las monstruitas que insisten en robarte a tu marido!
ZOMBIE Beyond Terror: FPS Survival,"6,99 €*","• Acción, Acción en primera persona (FPS), Aventura, Disparos (Shooter)",16-03-2022,Survive or die in a world overrun by bloody Zombies!
MacGuffin's Curse,"9,99 €*","• Aventura, Puzle",15-03-2022,Sneak and smash your way through this fiendishly addictive comedy-puzzle-adventure.
Phantom Breaker: Omnia,"19,99 €*","• Acción, Arcade, Lucha",15-03-2022,Phantom Breaker Omnia es un trepidante juego de lucha anime en 2D en el que 20 personajes distintos pelean entre sí para hacer realidad sus deseos más anhelados.
Dawn of the Monsters,"26,19 €*","• Acción, Aventura",15-03-2022,¡Se necesita a un monstruo para pararle los pies a un monstruo!
Drag Clash Pro: Hot Rod Racing,"5,99 €*","• Arcade, Carreras, Deportes, Simulación",14-03-2022,
Cyber Fight,"6,99 €*","• Acción, Lucha",13-03-2022,Play one of the undercover agents to track down and stop the terrorist.
