Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Poly Link - Battle Heroes,"2,99 €2,09 €*","• Arcade, Puzle, Tablero",13-10-2022,"""Poly Link - Battle Heroes"" combina geniales rompecabezas de baja poli y asombrosos héroes de batalla. Resuelve los acertijos y reúne a los increíbles héroes y las lindas chicas."
The Battle of Polytopia,"14,99 €*","• Aventura, Estrategia, Simulación, Tablero",13-10-2022,"Un galardonado juego de estrategia. ¡Construye tu propia civilización! ¡Explora el mundo, domina las tecnologías y controla a otras tribus para dominar el mapa!"
BOT.vinnik Chess 2,"2,99 €*","• Educativo, Estrategia, Puzle, Tablero",13-10-2022,¡Aprende los secretos de los maestros de ajedrez con el mejor instructor!
Witchcrafty,"9,99 €4,99 €*","• Arcade, Aventura, Otros, Plataformas",13-10-2022,"Todo lo que esperas de un juego de hadas, pero con un toque de rareza."
Temp Zero,"8,99 €*","• Acción, Arcade, Música",13-10-2022,Temp Zero es un juego minimalista de estilo roguelike que combina acción intensa con un festín de música y balas.
The Witch's House MV,"14,99 €*","• Aventura, Puzle, Rol (RPG)",13-10-2022,Huye De Los Pasillos Infernales
Trifox,"19,99 €*","• Acción, Aventura, Plataformas",13-10-2022,¡Un zorro extraordinario en una aventura repleta de acción!
Fragment's Note+,"14,99 €*",• Aventura,13-10-2022,This is story that ties the future together...
Warpips,"19,99 €*","• Acción, Estrategia",12-10-2022,Warpips is the ultimate quick to learn but deep tug-of-war strategy game
Unusual Findings,"19,99 €*","• Aventura, Puzle",12-10-2022,"Aventura nostálgica sobre la amistad, los 80 y los alienígenas"
LEGO® Bricktales,"29,99 €7,49 €*","• Aventura, Otros, Puzle, Simulación",12-10-2022,Descubre una innovadora mecánica para construir ladrillo a ladrillo y crea soluciones para distintos puzles usando tu imaginación
Pink Explorer,"4,99 €*","• Arcade, Aventura, Fiesta, Plataformas",11-10-2022,"Pink Explorer is an Retro style 2D Platformer. Try to beat all the different levels littered with sweet platforming, enemies, gravity puzzles and more!"
Bloodwash,"9,59 €6,71 €*","• Acción en primera persona (FPS), Aventura, Otros",11-10-2022,¡¡¡EL WOMB RIPPER ATACA DE NUEVO!!!
In Sound Mind,"34,99 €*","• Acción, Acción en primera persona (FPS), Aventura, Puzle",11-10-2022,"Cuando despiertas en los pasillos de un extraño edificio, descubres que el entorno cobra vida propia y te lleva a descubrir una serie de víctimas, todas expuestas a la misma terapia experimental."
Space Roguelike Adventure,"4,99 €*",• Plataformas,11-10-2022,Space Roguelike Adventure - what else do you need to know?
Aquarist,"9,99 €*","• Educativo, Estrategia, Otros, Simulación",10-10-2022,"Run the best aquarium shop in town! Create, renew, manage, observe. See if you can create an aquarium empire."
Frogy World,"2,99 €*","• Arcade, Aventura, Plataformas",10-10-2022,Frogy World is 2D Platformer Game
LawnMower: Mortal Race,"9,99 €*","• Arcade, Carreras, Deportes, Simulación",08-10-2022,Drive a lawn mower
Lost Dream: Memories,"4,99 €*","• Arcade, Aventura, Fiesta, Plataformas",08-10-2022,Lost Dream is back bigger than ever! Explore the world as a cute little fox and go on a mission to find your forgotten piece.
Ultra Mega Xtra Party Challenge,"24,99 €*","• Estilo de vida, Fiesta",07-10-2022,Ultra Mega Xtra Fun incluso.
CHAOS;CHILD,"24,99 €*",• Aventura,07-10-2022,
CHAOS;HEAD NOAH,"24,99 €*",• Aventura,07-10-2022,
CHAOS;HEAD NOAH / CHAOS;CHILD DOUBLE PACK,"49,99 €*",• Aventura,07-10-2022,Two delusions become one.
Endless Memories,"19,99 €*","• Acción, Rol (RPG)",07-10-2022,Adéntrate en el mundo de los sueños con esta aventura de acción que combina mundos no lineales creados artesanalmente con elementos ARPG.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Splatter - Zombiecalypse Now,"7,99 €*","• Acción, Arcade, Disparos (Shooter), Lucha",07-10-2022,"Para sobrevivir, deberás llevar a cabo auténticas proezas de la inteligencia humana"
A Frog's Job,"4,99 €*","• Aventura, Plataformas, Puzle",07-10-2022,Juego de plataformas exigente con una mecánica única de detener el tiempo
L.O.L. Surprise! B.B.s NACIDAS PARA VIAJAR™,"44,99 €*","• Fiesta, Puzle, Simulación",07-10-2022,Crea atrevidas muñecas L.O.L. Surprise! para seguidores de todo el mundo en este escandaloso juego de moda arcade.
Prodeus,"24,99 €*","• Acción, Disparos (Shooter)",07-10-2022,Resucita el caos de los juegos de disparos en primera persona clásicos.
Classic Games Collection Vol.2,"4,99 €*","• Estrategia, Fiesta, Puzle, Tablero",07-10-2022,¡Bienvenido a «Classic Games Collection Vol.2»!
Super Dino,"9,99 €*","• Educativo, Fiesta, Puzle, Tablero",07-10-2022,Super Dino es un divertido juego de puzzle diseñado para niños de 2 años. Los niveles de dificultad más altos ofrecen aún más diversión y desafío para los niños de todas las edades.
Invocation: The Festival of Souls,"6,99 €*","• Acción, Fiesta, Lucha",07-10-2022,¡Prepárate para que los personajes de los rostros famosos de la historia se enfrenten en la arena!
Ammo Pigs: Armed and Delicious,"7,99 €*","• Acción, Arcade, Aventura, Disparos (Shooter)",07-10-2022,Un cerdo rudo se enfrenta a un ejército de IA para salvar a todos los cerdos. Ábrete camino a través de hordas de enemigos y labra tu camino hacia la victoria.
The Preschoolers: Season 1,"19,99 €*","• Arcade, Aventura, Fiesta, Otros",07-10-2022,Acompaña a un grupo de adorables preescolares en sus aventuras diarias. Observa cómo juegan y aprenden valiosas lecciones sobre nuestro mundo.
All in! Bundle,"9,99 €*","• Acción, Carreras, Deportes, Lucha",07-10-2022,¡Consigue siete juegos completos en uno! Diviértete en tu colección!
No Man's Sky,"49,99 €19,99 €*","• Acción, Aventura, Rol (RPG), Simulación",07-10-2022,No Man's Sky es un juego de ciencia ficción sobre exploración y supervivencia en un universo infinito generado de forma procedimental.
Trash Sailors,"19,99 €*","• Acción, Fiesta, Simulación",06-10-2022,"¡El mundo ha sufrido un tsunami de basura! Por suerte para ti, gran parte de ella flota."
Youropa,"14,99 €*","• Plataformas, Puzle",06-10-2022,"Tras el colapso de Youropa, tendrás que caminar por las paredes de una extraña ciudad fragmentada, para reconstruirla y descubrir quién eres en realidad."
Jewel Diamonds,"2,99 €*","• Arcade, Puzle, Tablero",06-10-2022,¡Este juego de combinar 3 es perfecto dondequiera que estés! ¡Es uno de los juegos más adictivos para jugar! Juega y compruébalo por ti mismo.
