Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Xenoblade Chronicles X: Definitive Edition,"59,99 €*",• Rol (RPG),20-03-2025,Lucha para sobrevivir mientras exploras un inmenso mundo alienígena en Xenoblade Chronicles X: Definitive Edition para Nintendo Switch.
Donkey Kong Country Returns HD,"59,99 €*",• Plataformas,16-01-2025,"¡Pisotea a los enemigos, usa barriles a modo de cañón, súbete a vagonetas y muchas cosas más en Donkey Kong Country Returns HD para Nintendo Switch!"
Fitness Boxing 3: Your Personal Trainer,"49,99 €*","• Deportes, Entrenamiento, Música, Otros",05-12-2024,¡Es hora de ponerse en forma con Fitness Boxing 3: Your Personal Trainer para Nintendo Switch!
Mario & Luigi: Conexión fraternal,"59,99 €*","• Acción, Aventura, Rol (RPG)",07-11-2024,"¡Viento en popa, a toda vela! ¡Pon rumbo a una nueva aventura en Mario & Luigi: Conexión fraternal para Nintendo Switch!"
Super Mario Party Jamboree,"59,99 €*","• Fiesta, Tablero",17-10-2024,¡Prepárate para el mayor Mario Party hasta la fecha! ¡Celebra una fiesta por todo lo alto en Super Mario Party Jamboree para Nintendo Switch!
The Legend of Zelda: Echoes of Wisdom,"59,99 €*",• Aventura,26-09-2024,Usa la sabiduría de la princesa Zelda para salvar Hyrule en The Legend of Zelda: Echoes of Wisdom para Nintendo Switch.
Luigi's Mansion 2 HD,"59,99 €*","• Acción, Aventura",27-06-2024,¡Únete al asustadizo Luigi en una aterradora misión en Luigi’s Mansion 2 HD para Nintendo Switch!
Emio – El Sonriente: Famicom Detective Club,"49,99 €*",• Aventura,29-08-2024,Desentraña la verdad en esta siniestra y retorcida historia de suspense para Nintendo Switch: Emio – El Sonriente: Famicom Detective Club.
Nintendo World Championships: NES Edition,"29,99 €*","• Acción, Carreras, Fiesta",18-07-2024,Pon a prueba tus habilidades de speedrun en más de 150 desafíos en Nintendo World Championships: NES Edition para Nintendo Switch.
Nintendo 64 – Nintendo Switch Online: Contenido para mayores,"0,00 €*",• Otros,18-06-2024,¡Accede cuando y donde quieras a una selección de juegos clásicos de Nintendo 64 en tu Nintendo Switch!
Paper Mario: La puerta milenaria,"59,99 €*",• Aventura,23-05-2024,¡Únete a Mario en su búsqueda de los cristales estelares en una aventura donde encarnarás el papel protagonista!
Endless Ocean Luminous,"49,99 €*","• Aventura, Simulación",02-05-2024,Emprende un relajante viaje oceánico en compañía en Endless Ocean Luminous para Nintendo Switch.
Princess Peach: Showtime!,"59,99 €*","• Acción, Aventura",22-03-2024,El escenario está a punto para la aventura en Princess Peach: Showtime! para Nintendo Switch.
Mario vs. Donkey Kong,"49,99 €*","• Acción, Puzle",16-02-2024,Resuelve todo tipo de puzles y pon a prueba tus dotes para las plataformas en tu afán por recuperar los Minimarios robados en Mario vs. Donkey Kong para Nintendo Switch.
Another Code: Recollection,"59,99 €*",• Aventura,19-01-2024,Desentraña la verdad en dos juegos de aventura y misterio que llegan totalmente mejorados a Nintendo Switch.
Super Mario RPG,"59,99 €*","• Acción, Rol (RPG)",17-11-2023,¡Únete a un grupo de héroes fuera de lo común en este juego de rol y aventura de Mario para Nintendo Switch!
WarioWare: Move It!,"49,99 €*","• Acción, Fiesta",03-11-2023,"Menéate, pega puñetazos, baila, retuércete e incluso haz reverencias en más de 200 microjuegos que corren a toda pastilla en WarioWare: Move It! para Nintendo Switch."
Super Mario Bros. Wonder,"59,99 €*",• Acción,20-10-2023,¡Espera lo inesperado en la nueva aventura de desplazamiento lateral en 2D de Mario!
Detective Pikachu: El regreso,"49,99 €*",• Aventura,06-10-2023,Resuelve un inquietante misterio en Detective Pikachu: El regreso para Nintendo Switch.
DECAPOLICE,Precio no disponible,,2026,Una misteriosa historia de detectives que se desarrolla en un mundo virtual.
The Gecko Gods,Precio no disponible,"• Aventura, Puzle",Fecha no disponible,Adéntrate en tumbas antiguas para completar los puzles de su interior de formas que solo un geco trepamuros es capaz.
Shantae Advance: Risky Revolution,Precio no disponible,"• Acción, Aventura, Plataformas",2025,¡Shantae vuelve a la carga en esta secuela que se perdió hace mucho tiempo!
Valley Peaks,Precio no disponible,"• Aventura, Plataformas, Puzle",2025,Las montañas te aguardan
El profesor Layton y el Nuevo Mundo a vapor,Precio no disponible,,2025,¡Una serie que ha vendido más de 18 millones de copias en todo el mundo! Resuelve entretenidos rompecabezas y progresa en la historia de esta aventura que mezcla puzles y fantasía.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Leyendas Pokémon: Z-A,Precio no disponible,"• Acción, Aventura, Rol (RPG)",2025,Una nueva y ambiciosa aventura que se desarrolla en Ciudad Luminalia llegará en 2025.
The Zebra-Man!,Precio no disponible,"• Acción, Aventura, Disparos (Shooter), Lucha",Fecha no disponible,¡La venganza viste a rayas! The Zebra-Man! es un juego de acción hiper-vitaminado repleto de brutales peleas a puñetazos y sangre derramándose a tu paso.
Rift of the NecroDancer,Precio no disponible,• Música,Fecha no disponible,Ayuda a Cadence a navegar por el mundo moderno mientras repara las grietas que le han destrozado la vida.
The Sekimeiya: Spun Glass,"13,99 €*","• Acción, Aventura, Puzle",31-12-2025,¿Podrás desentrañar los enredados acontecimientos que ocurren dentro de la torre sellada?
Metroid Prime 4: Beyond,Precio no disponible,"• Acción, Acción en primera persona (FPS)",2025,"La mejor cazarrecompensas de toda la galaxia, Samus Aran, emprenderá una nueva misión en Metroid Prime 4: Beyond, disponible para Nintendo Switch en 2025."
Dunk Dunk,"14,99 €*","• Arcade, Deportes, Fiesta",31-12-2025,"Arrea balonazos con tus amigos o contra ellos en Dunk Dunk, un divertido juego de acción al ritmo del baloncesto más caótico."
Windborn - Wings of Fate,"6,99 €*","• Aventura, Carreras, Otros, Simulación",07-08-2025,¡Vuela por el cielo y domina el viento!
Hollow Knight: Silksong,Precio no disponible,• Plataformas,Fecha no disponible,Descubre un extenso reino encantado en Hollow Knight: Silksong para Nintendo Switch.
Boxville 2,Precio no disponible,"• Aventura, Otros, Puzle",15-05-2025,"Boxville 2 continúa la aventura de unas latas que viven en una ciudad-caja. Dos amigos estaban montando fuegos artificiales para la celebración de la ciudad, pero un error provocó el caos y uno de ellos desapareció."
FANTASY LIFE i: La pequeña ladrona del tiempo,Precio no disponible,"• Acción, Aventura, Rol (RPG)",2025,Un nuevo capítulo de Fantasy Life que trasciende el tiempo
Atama,"9,99 €*","• Aventura, Otros, Puzle",24-04-2025,See through their eyes. Stay out of their sight.
