Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Yello Adventures,"5,99 €*","• Acción, Aventura, Disparos (Shooter), Plataformas",21-04-2023,Overcome challenging and dangerous platforms with a variety of different and challenging enemies and make sure you are prepared for the boss at the end of the level where you will show your experience and expertise!
Halftime Heroes,"4,99 €*","• Acción, Arcade, Aventura, Rol (RPG)",21-04-2023,"SOBREVIVE A HORDAS, SÉ UN HOMBRE-EJERCITO, MUERE Y VUELVE MAS FUERTE."
Moe Waifu H,"4,99 €*","• Acción, Música, Puzle",21-04-2023,¡Siente el ritmo de su corazón en un juego de combinaciones de símbolos que requiere buenos reflejos!
Tales of the Neon Sea,"19,99 €*","• Arcade, Aventura, Puzle, Rol (RPG)",21-04-2023,Ciberpunk Aventura Detectives
Zoeti,"19,50 €*","• Aventura, Estrategia, Puzle, Rol (RPG)",21-04-2023,Zoeti es un roguelike por turnos en el que tienes un mazo de cartas para crear combos con ellas que activen habilidades en combate.
Itorah,"19,99 €*","• Acción, Plataformas, Rol (RPG)",21-04-2023,Guía a Itorah por un mundo fantástico lleno de seres enmascarados extraños.
Coffee Talk Episode 2: Hibiscus & Butterfly,"14,99 €*",• Aventura,20-04-2023,Un simulador con el aroma de una buena cafetería y las buenas conversaciones.
Melonizard,"3,99 €*","• Arcade, Aventura, Estrategia, Puzle",20-04-2023,"2D Adventure/Action game where stealth is at the forefront. With 22 separate levels, each one offering a different experience, you'll be asked to be careful and overcome the different obstacles to reach the fruit at the end of each level!"
Japanese NEKOSAMA Games The Outlaws,"8,99 €*",• Puzle,20-04-2023,Recupera la comida enlatada para gatos robada Y salva la crisis alimentaria de los gatos
Wild Dogs,"9,99 €*","• Acción, Disparos (Shooter)",20-04-2023,¡Caza a los alienígenas de todas las formas posibles!
Panic Porcupine,"6,99 €*","• Arcade, Plataformas, Puzle",20-04-2023,50+ fases de locura en este juego de plataformas de precisión y alta velocidad
Summer Bubble Splash,"3,49 €*","• Educativo, Puzle, Tablero",20-04-2023,¡Resuelve divertidos rompecabezas de combinación bajo el agua y usa diferentes refuerzos para pasar al siguiente nivel!
Dominant Mind - Code Breaker Game,"4,59 €*","• Otros, Puzle, Tablero",20-04-2023,¿Buscas los mejores juegos mentales? ¡Entrena tu cerebro! Ponte un reto y mejora tu lógica con este entretenido juego de lógica de descifra el código.
Sunrise GP,"14,99 €*","• Arcade, Carreras",20-04-2023,"Let's race in the sunshine - take part in the Sunrise GP! 21 cars, 20 tracks, an amazing soundtrack, a four-player split-screen, car modifications and more!"
Jigsaw Kitties,"2,99 €*","• Educativo, Puzle, Tablero",20-04-2023,Un lindo juego de rompecabezas con más de 60 lindos gatitos de dibujos animados para desbloquear
Cavity Busters,"12,49 €*","• Acción, Disparos (Shooter)",20-04-2023,Cavity Busters es un roguelite toothpunk bullet hell
Story of Abandoned School - Silent Escape Horror,"9,99 €*","• Acción, Arcade, Aventura, Simulación",20-04-2023,"Una escuela abandonada donde los niños solían estudiar y los maestros trabajaban, se ha convertido en una pesadilla local para los residentes locales, todos los residentes locales saben que no se puede visitar este lugar e incluso acercarse a él, co"
Max Reckoning - A Criminal Thief Story With Shooter & Quest,"11,99 €*","• Acción, Arcade, Disparos (Shooter), Lucha",20-04-2023,"El juego cuenta la historia de dos amigos que querían cambiar su vida y enriquecerse de una manera no del todo legal. El protagonista, al tener más experiencia y confianza, sale solo a robar un banco, lo que luego resulta ser una mala idea."
Fortress Building Puzzle - Galaxy Cube Tower Simulator Game,"2,99 €*","• Arcade, Entrenamiento, Estrategia, Tablero",20-04-2023,"Fortress Building Puzzle is a puzzle game where you need to strategically remove all the cubes to bring your castle to the ground, which is quite high."
Tin Hearts,"19,99 €*","• Aventura, Otros, Puzle",20-04-2023,"Detrás de cada invento brillante hay una historia increíble. De manos de los creadores de Fable llega Tin Hearts, un juego de rompecabezas inmersivo con una conmovedora historia de amor y compromiso."
Labyrinth of Zangetsu,"29,99 €*","• Estrategia, Puzle, Rol (RPG)",20-04-2023,¡Un juego de mazmorras con combates por turnos y criaturas basadas en yokai!
Park Story,"18,49 €*","• Acción, Aventura, Puzle, Rol (RPG)",20-04-2023,"Descubre puzzles de mazmorras hechos a mano y enfréntate a tus demonios en Park Story, una reimaginación completa del clásico juego aventura de acción."
Arcana of Paradise —The Tower—,"19,50 €*","• Estrategia, Rol (RPG)",20-04-2023,"Tened fe, pues el paraíso os aguardaría más abajo…"
Mr. Sun's Hatbox,"14,99 €*","• Acción, Estrategia, Plataformas, Simulación",20-04-2023,Mr Sun's Hatbox es un roguelite plataformero de humor sobre cumplir con el trabajo a toda costa.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
DNF Duel: Who's Next,"49,99 €*",• Lucha,20-04-2023,THE SEEDS OF VOLITION BRING FORTH A CHALLENGER
Namariel Legends - Iron Lord,"14,99 €*","• Arcade, Aventura, Estrategia, Puzle",20-04-2023,¡Libera a tu pueblo de las garras despiadadas del Señor de Hierro!
Just Xiangqi,"5,99 €*","• Estrategia, Puzle, Tablero",20-04-2023,The most exquisite Xiangqi game ever made!
Molly Medusa: Queen of Spit,"19,00 €*","• Aventura, Puzle",20-04-2023,"¡Pobre Molly, todos tus amigos se transformaron en piedra!"
Alicia Griffith: Lakeside Murder Collector's Edition,"14,99 €*","• Aventura, Puzle",20-04-2023,Murder took place and local sheriff needs your help!
BACKGAMMON PRO for Nintendo Switch™,"7,99 €*","• Comunicación, Entrenamiento, Tablero",20-04-2023,"Aprendizaje automático AI y análisis de registros del juego, ""Backgammon"" que se puede jugar con reglas precisas."
Arcade Archives COSMO GANG THE VIDEO,"6,99 €*","• Arcade, Disparos (Shooter)",20-04-2023,"Cozmo Corps Aligned ! Defeat the big boss ""DON COSMO"" !"
SPOOKWARE,"8,19 €*","• Acción, Arcade, Aventura, Rol (RPG)",20-04-2023,"A WONDERFUL ROAD TRIP THROUGH THE LAND OF THE DEAD Join the three skelebros -Lefti, Midi, and Righti- on a grand road trip through the cutesy world of the dead."
The Mortuary Assistant,"20,99 €*","• Aventura, Otros, Puzle, Simulación",20-04-2023,"Having completed your degree in mortuary sciences, you have taken on an apprenticeship at River Fields Mortuary."
Lifeslide,"14,99 €*","• Arcade, Aventura, Música, Otros",20-04-2023,¡Embárcate en un viaje por la vida mientras dominas la habilidad de volar en un avión de papel!
