Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Duke of Defense,"13,99 €*","• Acción, Aventura",20-06-2019,"Construye torres, mejora tus habilidades y acaba con más goblins que ningún otro duque antes."
Boxing Champs,"8,50 €*","• Acción, Deportes, Lucha",20-06-2019,¡Entra al ring y conviértete en un campeón de boxeo!
Mainlining,"14,99 €*","• Aventura, Simulación",20-06-2019,Una emocionante aventura gráfica de hackeo que mezcla un humor seco y negro con una narrativa apasionante.
Forest Home,"14,99 €*","• Estrategia, Puzle",20-06-2019,¡Algo va mal en el bosque! Todos los animales se han perdido y solo tú puedes guiarles a casa.
The Childs Sight,"4,99 €*",• Aventura,20-06-2019,Descubre momentos perdidos a través de los ojos de un bebé mientras exploras lo que queda en el ático.
Rolling Gunner,"19,99 €*","• Arcade, Disparos (Shooter)",20-06-2019,"18 de marzo de 2061: comienza la operación ""Downfall""."
My Friend Pedro,"19,99 €*","• Acción, Arcade, Aventura, Plataformas",20-06-2019,"My Friend Pedro narra la historia de un hombre que, a las órdenes de un plátano inteligente, lucha para eliminar a quien se interponga en su camino."
Queen's Quest 3: The End of Dawn,"14,99 €*","• Aventura, Puzle",20-06-2019,¡Conviértete en un verdadero alquimista!
Word Mesh,"6,99 €3,49 €*","• Puzle, Tablero",20-06-2019,Word Mesh es un juego de encontrar palabras.
Arcade Archives WILD WESTERN,"6,99 €*","• Acción, Arcade",20-06-2019,'¡Es hora de que el sheriff se monte a lomos de su caballo para acabar con los forajidos!
Secret Files 2: Puritas Cordis,"14,99 €*",• Puzle,20-06-2019,Una dramática carrera contra el tiempo.
Realm Royale,"0,00 €*","• Acción, Disparos (Shooter)",20-06-2019,
Another Sight,"39,99 €3,99 €*","• Aventura, Plataformas, Puzle",18-06-2019,Una adolescente que ha perdido la vista y un gato misterioso forman un equipo en una aventura fantástica y surrealista hacia lo desconocido.
Blade II - The Return Of Evil,"22,99 €*","• Acción, Aventura, Rol (RPG)",18-06-2019,¡El mal está de vuelta! ¡Únete a la lucha definitiva!
Sea King,"4,99 €*","• Acción, Fiesta",17-06-2019,Un vertiginoso juego de combates navales en grupo.
Vosaria: Lair of the Forgotten,"9,99 €*","• Acción, Aventura, Disparos (Shooter), Plataformas",14-06-2019,"Esquiva las trampas, resiste el envite del enemigo y mejora tu arsenal y equipamiento para superar los desafíos."
Dead Dungeon,"4,99 €*","• Acción, Arcade, Plataformas",14-06-2019,Emprende una auténtica odisea para traer de vuelta todas las almas y los dulces de la misteriosa mazmorra.
Demolition Crew,"4,99 €*","• Arcade, Plataformas, Puzle",14-06-2019,Únete a Sasha y Valya mientras compiten en una reñida carrera para llegar a lo más alto de los edificios en este juego de puzles.
Deer Drive Legends,"19,99 €*","• Acción, Disparos (Shooter)",14-06-2019,¡La temporada de caza ha empezado!
Verlet Swing,"14,99 €*","• Acción, Disparos (Shooter), Fiesta, Simulación",14-06-2019,Navega a través de pantallas surrealistas.
WORLDEND SYNDROME,"39,99 €*","• Aventura, Rol (RPG)",14-06-2019,"Te damos la bienvenida a Mihate-chou, una pintoresca ciudad costera con un secreto aterrador."
PlataGO! Super Platform Game Maker,"19,99 €*",• Plataformas,13-06-2019,¡La forma más rápida y sencilla de crear juegos de plataformas!
Radiation City,"19,99 €*","• Acción, Acción en primera persona (FPS), Aventura, Disparos (Shooter)",13-06-2019,Explora y ábrete paso en un juego de supervivencia y de mundo abierto ambientado en las afueras de Chernóbil
Phantom Doctrine,"19,99 €*","• Estrategia, Rol (RPG), Simulación",13-06-2019,"Corre el año 1983. El mundo se tambalea al borde de la destrucción, sometido al puño gélido de la Guerra Fría. Este u oeste: no confíes en nadie, duda de todo lo que veas."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Arcade Archives POOYAN,"6,99 €*","• Arcade, Disparos (Shooter)",13-06-2019,"¿Lobos en el bosque? ¡Acaba con ellos armado con arco y flecha, y salva a nuestros pobres POOYAN!"
Cadence of Hyrule – Crypt of the NecroDancer Featuring The Legend of Zelda,"24,99 €*","• Aventura, Música",13-06-2019,Explora al ritmo de remezclas de The Legend of Zelda en Cadence of Hyrule – Crypt of the NecroDancer Featuring The Legend of Zelda para Nintendo Switch.
Leisure Suit Larry - Wet Dreams Don't Dry,"39,99 €*","• Aventura, Puzle",13-06-2019,"Un ligón de los ochenta, en pleno 2018."
THE LAST REMNANT Remastered,"19,99 €*",• Rol (RPG),11-06-2019,¡El clásico RPG de culto con combates por equipos por fin llega a Nintendo Switch!
Collection of Mana,"39,99 €15,99 €*","• Acción, Aventura, Otros, Rol (RPG)",11-06-2019,"Después de tantos años, ¡Trials of Mana por fin ve la luz fuera de Japón!"
Contra Anniversary Collection,"19,99 €*","• Acción, Arcade",11-06-2019,Consigue potenciadores y arrasa con las hordas de enemigos y jefes que te atacan sin piedad.
Battle Worlds: Kronos,"29,99 €*",• Estrategia,11-06-2019,¡El destino del planeta está en tus manos!
Bullet Battle: Evolution,"16,99 €*","• Acción, Acción en primera persona (FPS)",10-06-2019,¡Júntate con amigos de todo el mundo para disfrutar en compañía de este maravilloso juego de disparos en tercera persona!
Tyr : Chains of Valhalla,"9,99 €*","• Acción, Aventura, Plataformas",09-06-2019,"Tyr: Chains of Valhalla es un sólido juego de disparos/plataformas de acción retro en 2,5D con muchos potenciadores, robots, vikingos y jefes difíciles."
PICO PARK,"3,99 €*","• Acción, Puzle",08-06-2019,¡Un juego de puzles y acción cooperativo para 2-8 jugadores!
Neon Junctions,"4,99 €*","• Aventura, Puzle",07-06-2019,Captura y mueve cubos conductores
Submerged,"8,99 €*","• Aventura, Puzle",07-06-2019,Hilvana la historia de un mundo en ruinas y de una familia rota
Toon War,"4,99 €*","• Acción, Disparos (Shooter)",07-06-2019,"Libera las pacíficas aldeas de la invasión de ejércitos malvados, eliminando enemigos y venciendo a los temibles jefes."
Refunct,"2,99 €*","• Aventura, Plataformas",07-06-2019,Refunct es un relajante y breve juego de plataformas en primera persona donde debes restaurar la belleza de un brillante mundo.
Slay the Spire,"24,99 €*","• Aventura, Estrategia, Rol (RPG)",06-06-2019,"¡Crea un mazo de cartas únicas, encuentra monstruos de lo más extraño y descubre el inmenso poder de las reliquias en Slay the Spire!"
The Sushi Spinnery,"13,00 €*","• Estrategia, Rol (RPG), Simulación",06-06-2019,¡Revoluciona la barra giratoria de sushi en esta nueva y fresca simulación!
