Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Super Meat Boy Forever,"15,99 €*","• Acción, Aventura, Plataformas, Puzle",23-12-2020,¡Super Meat Boy ha VUELTO! ¡Juega en literalmente miles de niveles!
Isolation Story,"9,59 €*","• Aventura, Estilo de vida, Rol (RPG), Simulación",22-12-2020,VIRUS-19 has ravaged the world! Take control of a mindless citizen and live through a 7-day quarantine inside of Lockdown City.
NEKOPARA Vol.4,"10,99 €*","• Aventura, Comunicación, Rol (RPG), Simulación",22-12-2020,¡La conmovedora comedia de Neko nuevamente está abierta al público!
Override 2: Super Mech League,"29,99 €*","• Acción, Fiesta, Lucha",22-12-2020,El robot matón ha vuelto a lo grande a Override 2: Super Mech League!
Landflix Odyssey,"6,99 €*","• Acción, Arcade, Otros, Plataformas",22-12-2020,"Explore the worlds of your favorite TV shows, fight their famous villains and retrieve nuclear batteries to escape the Landflix Odyssey!"
Roundout by POWGI,"7,99 €*","• Educativo, Estrategia, Puzle, Tablero",21-12-2020,
PBA Pro Bowling 2021,"24,99 €*","• Deportes, Simulación",21-12-2020,¡PBA Pro Bowling 2021 es el juego perfecto para los fans de los bolos! ¡Ahora puede jugar metiéndote en la piel de tu profesional favorito de la PBA!
Traffix: Traffic Simulator,"4,99 €*","• Estrategia, Puzle",21-12-2020,"Traffix es el juego de rompecabezas de tráfico original. Con reglas simples y un diseño minimalista, ayuda los conductores a conducir durante las horas pico caóticas en todo el mundo."
Dungeon Limbus,"16,99 €*","• Acción, Aventura, Estrategia, Rol (RPG)",21-12-2020,Pixel art! Classic Roguelike! tile maps and turns! Infinite dungeon randomly generated! Interesting collection elements and multi-endings to grow villages & weapon!
Shikaku Shapes,"6,99 €*","• Estrategia, Puzle, Tablero",18-12-2020,"Hours of brain challenge, great for both beginners and pros!"
60 Seconds! Reatomized,"9,99 €*","• Aventura, Estrategia, Otros, Simulación",18-12-2020,"La comedia negra postapocalíptica ha vuelto, ¡remasterizada y aún más radiactiva que antes!"
Dark Arcana: The Carnival,"14,99 €*","• Aventura, Puzle",18-12-2020,¿Serás capaz de descubrir los misterios oscuros del parque de atracciones?
Arcade Archives VS. TENNIS,"6,99 €*","• Arcade, Deportes",18-12-2020,"A heated rally battle, use two types of hitting balls!"
Freddy Spaghetti,"4,99 €*","• Acción, Arcade, Aventura, Simulación",18-12-2020,"Este es Freddy. Freddy es un espagueti. Ah, y está vivo."
Defentron,"9,99 €*","• Arcade, Disparos (Shooter), Estrategia, Puzle",17-12-2020,DEFENTRON es un “Tower Defense” 3D arrancado directamente de los 80 con su estética retro.
Yum Yum Line,"4,99 €*","• Estrategia, Puzle",17-12-2020,"Combina 5 casillas del mismo color, despeja líneas y asegúrate de no atascarte. ¿Podrás llegar a lo más alto de la clasificación?"
Gems of Magic: Lost Family,"4,99 €*","• Aventura, Estrategia, Puzle",17-12-2020,¡Rescata a la familia Fuzzy y salva el bosque encantado en 100 desafiantes niveles!
KAUIL’S TREASURE,"9,99 €*","• Acción, Aventura, Plataformas, Puzle",17-12-2020,Kauil's Tresure es un juego de de aventura-puzle para un jugador. Descubre los horrores detrás del tesoro de Kauil y encuentra a tu hija perdida.
Crawlco Block Knockers,"8,99 €*","• Acción, Arcade, Puzle",17-12-2020,"¡El juego de puzles de acción más picante del barrio ha vuelto, más provocativo que nunca!"
密室のサクリファイス／ABYSS OF THE SACRIFICE,"39,99 €11,99 €*","• Aventura, Puzle",17-12-2020,Can you reach all the endings in this suspenseful adventure escape game?
Touhou Luna Nights,"14,99 €10,49 €*",• Acción,17-12-2020,"Explore the world of the ""Luna Nights"" with Sakuya Izayoi!"
Crystal Ortha,"14,99 €*","• Aventura, Estrategia, Rol (RPG), Simulación",17-12-2020,¡Busca la legendaria veta minera en un fascinante juego de rol con pixel!
DOG GONE GOLFING,"7,99 €*","• Acción, Arcade, Deportes",17-12-2020,DOG GONE GOLFING is a fun pick up and play arcade golf game where cute dogs slap hockey pucks around procedurallly generated worlds. Perfect for the whole family!
Outbreak Lost Hope,"12,99 €*","• Acción, Aventura, Disparos (Shooter), Rol (RPG)",17-12-2020,Experimente la búsqueda desesperada de una madre por su hija en medio de una epidemia de muertos vivientes en todo el país.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Mercenaries Blaze: Dawn of the Twin Dragons,"19,99 €*","• Estrategia, Rol (RPG)",17-12-2020,"Mercenaries Blaze: Dawn of the Twin Dragons is a tactical RPG from Rideon, and is the 5th ‘Mercenaries’ title on Nintendo Switch™!"
Traditional Tactics Ne+,"8,99 €*","• Rol (RPG), Simulación",17-12-2020,"This is Simulation(Strategic) RPG. Simple and Reasonable, but Not Easy. So it's just Traditional!"
Dicey Dungeons,"14,99 €*","• Aventura, Rol (RPG)",16-12-2020,¡Conviértete en un dado gigante con patas y lucha para llegar al final de una mazmorra cambiante! ¿Podrás escapar de los crueles caprichos de Fortuna?
SYNTHETIK: Ultimate,"14,99 €*","• Acción, Arcade, Disparos (Shooter)",16-12-2020,SYNTHETIK es un juego de tiros tipo rogue-lite que tiene lugar en un mundo gobernado por máquinas.
Grindstone,"16,79 €*",• Puzle,15-12-2020,Asciende. Aplasta. Repite.
Shakes on a Plane,"19,99 €*","• Arcade, Fiesta, Otros",15-12-2020,Shakes on a Plane es un juego cooperativo caótico de entre uno y cuatro jugadores.
Dark Grim Mariupolis,"4,99 €*","• Aventura, Puzle",15-12-2020,"Classic adventure game set in a world, combining noir, Greek mythology, magic, mysticism, hopeless entourage of Greco-Roman Age of Decadence and everyday routine."
Among Us,"4,29 €2,57 €*","• Comunicación, Fiesta, Otros",15-12-2020,Hay un impostor entre nosotros...
Calico,"9,99 €*","• Aventura, Simulación",15-12-2020,¡Gatos por todos lados!
COLLECTION of SaGa FINAL FANTASY LEGEND,"19,99 €9,99 €*","• Aventura, Estrategia, Rol (RPG)",15-12-2020,¡Descubre los orígenes de la serie SaGa con COLLECTION OF SaGa FINAL FANTASY LEGEND!
When the Past was Around,"8,49 €*","• Aventura, Puzle",15-12-2020,Algo le falta a su mundo…
Boot Hill Heroes,"8,50 €*","• Aventura, Rol (RPG)",15-12-2020,¡Sumérgete en una aventura occidental inspirada en los JRPG clásicos de antaño y en el legendario Lejano Oeste estadounide
Jigsaw Fun: Piece It Together!,"4,99 €*","• Fiesta, Puzle, Tablero",14-12-2020,¡Completa más de 200 niveles de puzles únicos con hasta 4 jugadores!
