Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Bubble Shoot Farm,"9,99 €*","• Acción, Arcade, Fiesta, Puzle",20-10-2023,¡Rompecabezas de burbujas lleno de animales de granja!
Jujubos,"4,99 €2,49 €*","• Educativo, Estrategia, Plataformas, Puzle",20-10-2023,¡Usa diferentes herramientas para construir un camino y rescatar a todos los Jujubos!
Acrylic Nails!,"4,99 €0,99 €*","• Estilo de vida, Otros, Simulación",20-10-2023,"Get ready to nail it! Shape, polish and decorate some fabulous nails!"
NeonPowerUp!,"4,99 €*","• Acción, Plataformas, Puzle",20-10-2023,Salva una ciudad futurista y distópica invadida por robots locos
Suika Game,"A partir de: 2,99 €*","• Fiesta, Puzle",20-10-2023,Suika Game cuenta ahora con una nueva opción para dos jugadores. ¡Disfruta en compañía!
Bus Simulator 2023: City Driver,"13,99 €0,99 €*","• Carreras, Educativo, Rol (RPG), Simulación",20-10-2023,"Get on board, drive through the city, become the ultimate bus driving legend!"
Colors and their Meanings,"2,99 €*","• Estilo de vida, Otros",20-10-2023,"Discover how colors can influence your emotions and decisions, and learn how to use them creatively to feel better and achieve your goals. Join this exciting adventure!"
Garden Guardian,"4,99 €*","• Acción, Arcade",20-10-2023,Snip and slice to save your garden!
HOT WHEELS UNLEASHED™ 2 - Turbocharged,"49,99 €*","• Arcade, Carreras",19-10-2023,¡Los vehículos más chulos están de vuelta y van a llevar la diversión un paso más allá!
Blasphemous + Blasphemous 2 Bundle,"44,99 €*","• Acción, Aventura, Plataformas, Rol (RPG)",19-10-2023,La penitencia no conoce final
Arcade Archives BLANDIA,"6,99 €*","• Arcade, Lucha",19-10-2023,Set out on a war between the king and the world's mightiest warriors.
Ghostbusters: Spirits Unleashed Ecto Edition,"19,99 €*","• Acción, Aventura, Disparos (Shooter)",19-10-2023,"Ghostbusters: Spirits Unleashed Ecto Edition incluirá el juego y los cuatro botines de los DLC del 2023. Este es un juego multijugador divertido, perfecto para todos los niveles de habilidad."
Foosball League Cup: Arcade Table Football Simulator,"9,99 €*","• Arcade, Deportes, Simulación, Tablero",19-10-2023,¡Un simulador de pateador dinámico en el que tienes que agarrar la pelota y patearla hacia la meta del oponente!
Break the Glass Cup: Breaking Physics Puzzle,"9,99 €*","• Arcade, Educativo, Puzle",19-10-2023,Un rompecabezas clásico de atención plena y precisión basado en física real: ¡lanza la pelota y rompe todos los vasos de vidrio!
Bish Bash Bots,"19,99 €*","• Acción, Arcade, Estrategia, Fiesta",19-10-2023,"Forma equipo, coloca torretas y golpea robots en este juego de defensa de torre."
Gargoyles Remastered,"14,99 €*","• Acción, Aventura",19-10-2023,Revive la leyenda de Goliath y salva al mundo de la destrucción.
Hidden Cats in London,"2,99 €*","• Aventura, Otros, Puzle, Tablero",19-10-2023,Date un paseo relajante por Londres en este adorable juego de encontrar gatos.
Revenge of Banana,"3,99 €*","• Acción, Acción en primera persona (FPS), Lucha, Puzle",19-10-2023,"Revenge of Banana is a fast paced FPS game, one damage and you're dead! You have to kill the enemy with your swift moves, dodge a Strawberry trying to hit you, a Watermelon throwing seeds at you and an Exploding Tomato!"
Super Ultimate Fighters,"2,00 €*","• Acción, Arcade, Lucha",19-10-2023,The ultimate fighting game that brings together various fighters!
Tales of Mathasia,"7,99 €*","• Educativo, Otros, Puzle",19-10-2023,Help our little friends fight against evil Sparrow and solve all mathematics puzzles to bring beauty to our lands again!
Hentai Tales Vol. 1,"3,99 €*","• Estrategia, Fiesta, Puzle, Simulación",19-10-2023,"Sumérgete en historias fascinantes, resuelve acertijos intrigantes y disfruta de la belleza de las imágenes de anime."
Mail Time,"19,99 €13,99 €*",• Aventura,19-10-2023,¡Entrega cartas por la Arboleda Arbórea en esta agradable aventura de plataformas rural!
MAKOTO WAKAIDO’s Case Files TRILOGY DELUXE,"12,79 €*",• Aventura,19-10-2023,A game based on a simple concept: a mystery puzzle you can complete in an hour. Can you solve the cases narrated in this beautiful pixel-art adventure?
Soviet Project,"3,99 €*","• Acción, Acción en primera persona (FPS), Aventura, Otros",19-10-2023,Explora una ciudad abandonada y resuelve acertijos en una aventura de terror única en un mundo abierto.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Animal Hospital,"39,99 €*","• Otros, Simulación",19-10-2023,¡Gestiona un hospital veterinario y cuida de tus adorables pacientes en este videojuego para amantes de los animales!
Japan Train Models - JR East Edition,"13,79 €*","• Educativo, Puzle, Simulación",19-10-2023,"Japan Train Models is a model train puzzle and layout crafting game for model train fans that allows you to create ""Train Models"" and ""Scenery"" just like a puzzle."
Spirit Of The Island,"24,99 €*","• Aventura, Simulación",19-10-2023,Explora un RPG de simulación cooperativo ambientado en un archipiélago tropical
"Inescapable: No Rules, No Rescue","49,99 €*","• Aventura, Otros",19-10-2023,"Inescapable: No Rules, No Rescue es un thriller social ambientado en un resort situado en una isla tropical: te han secuestrado y obligado a participar en un retorcido reality televisivo con 10 desconocidos."
Agatha Christie - Asesinato en el Orient Express,"39,99 €*","• Aventura, Puzle",19-10-2023,Sube a bordo del legendario Orient Express y ponte el traje del detective más famoso en una carrera contrarreloj para descubrir al asesino.
Witchy Life Story,"19,50 €*","• Aventura, Simulación",19-10-2023,"Consigue que no te expulsen de la formación en esta mágica historia de caos, amistad ¡y romance!"
The Jackbox Party Pack 10,"29,99 €*","• Comunicación, Fiesta, Otros",19-10-2023,Que empiece la fiesta
DINOSAURS: Mission Dino Camp,"29,99 €*","• Acción, Aventura",19-10-2023,¡Encuentra y rescata a los schleich® DINOSAURS en una aventura llena de acción en la selva amazónica!
Shalnor Legends 2: Trials of Thunder,"9,99 €*","• Acción, Aventura, Puzle, Rol (RPG)",19-10-2023,A Story-Rich RPG/Action-Adventure game. Step into the shoes of the young Orc Mogren and explore all of Thunder Island.
Choice Clash: What Would You Rather?,"2,49 €*","• Acción, Estrategia, Fiesta, Simulación",19-10-2023,Experimenta un mundo de opciones en este juego definitivo de toma de decisiones con 300 dilemas alucinantes.
Ball laB II,"4,99 €*","• Acción, Plataformas, Puzle",18-10-2023,"¡Rueda, rebota y haz saltos dobles a través de exigentes (pero no injustos) niveles de plataformas con un estilo retro minimalista!"
Hellboy Web of Wyrd,"24,99 €*","• Acción, Aventura",18-10-2023,"Hellboy Web of Wyrd es un roguelike de acción y peleas con una historia original creada en colaboración con Dark Horse Comics y Mike Mignola, creador de Hellboy."
