Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Piczle Cross Adventure,"9,99 €*","• Aventura, Estrategia, Puzle, Rol (RPG)",16-04-2020,Piczle Cross Adventure es una vuelta de tuerca sobre el concepto clásico del nonograma. ¡Los puzles de lógica se integran a la perfección con una aventura gráfica 2D estilo RPG con modo historia!
DOUBLE DRAGON,"4,99 €*","• Acción, Lucha",16-04-2020,"¡El explosivo juego original de NES, que dio pie a la fama mundial de los títulos de lucha, vuelve mejor que nunca!"
DOUBLE DRAGON Ⅱ: The Revenge,"4,99 €*","• Acción, Lucha",16-04-2020,No te pierdas el segundo episodio de las aventuras de Billy y Jimmy: ¡Double Dragon II: The Revenge!
DOUBLE DRAGON Ⅲ: The Sacred Stones,"4,99 €*","• Acción, Lucha",16-04-2020,La saga épica de los hermanos Lee continúa.
Super Dodge Ball,"4,99 €*","• Acción, Deportes",16-04-2020,¡Que comience el Super Dodge Ball!
Arcade Archives PLUS ALPHA,"6,99 €*","• Arcade, Disparos (Shooter)",16-04-2020,¡Consigue objetos para transformar tu nave en 3 tipos diferentes!
Make War,"9,99 €*","• Acción, Arcade, Estrategia, Simulación",16-04-2020,"¡Una auténtica joya para los amantes de la estrategia! Este juego de estrategia en tiempo real de mundo abierto tiene los campos de batalla más descabellados: ¡planifica, lucha y gana!"
Galaxy Warfighter,"6,99 €*","• Acción, Arcade, Disparos (Shooter)",16-04-2020,¡Demuestra que eres el mejor piloto de la galaxia!
The Fox Awaits Me,"40,99 €*","• Aventura, Otros",16-04-2020,"Una novela visual que mezcla la tristeza, el hurmor y el terror."
Doubles Hard,"5,99 €*","• Plataformas, Puzle",15-04-2020,¡Reúne diamantes en este desafiante juego de puzles!
Boot Hill Bounties,"13,49 €*","• Aventura, Rol (RPG)",14-04-2020,"El condado de Bronco está al borde de la guerra. Ahora Kid, Doc, Moon y Rosy deben perseguir a cinco forajidos en esta aventura retro RPG Wild West para 1 a 4 jugadores."
Path of Giants,"7,39 €*","• Aventura, Estrategia, Puzle",14-04-2020,Path of Giants es un rompecabezas de aventura muy relajado.
Tharsis,"11,99 €0,99 €*","• Estrategia, Simulación",11-04-2020,Tharsis es un juego de estrategia por turnos en el que tendrás que sobrevivir en el espacio: las acciones y resultados dependerán de los dados y las decisiones que tomes.
RMX Real Motocross,"6,99 €*","• Carreras, Deportes, Simulación",10-04-2020,¡Prepárate para una experiencia de juego alucinante en un juego de motocross muy realista!
Depixtion,"7,19 €*","• Educativo, Estilo de vida, Estrategia, Puzle",10-04-2020,"Te damos la bienvenida a Depixtion, una juego de puzles relajante en el que puedes crear obras de arte usando la lógica."
Rush Rover,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",10-04-2020,Cuando los robots mineros van a la guerra
Solitaire Deluxe Bundle - 3 in 1,"14,99 €*",• Tablero,10-04-2020,¡Una nueva colección de grandes solitarios!
Dungeon Shooting,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",10-04-2020,¡Alterna entre distintas armas y acaba con los enemigos en este emocionante juego de disparos!
Fight of Animals,"8,99 €*","• Acción, Arcade, Lucha",09-04-2020,¡El juego de lucha más adorable del mundo!
Monster Viator,"14,99 €*","• Aventura, Rol (RPG)",09-04-2020,¡Monta un dragón y viaja con más de 20 monstruos en un juego de rol de fantasía! Pixel art atractivo que le da vida a tu aventura.
Battle Princess Madelyn Royal Edition,"13,30 €*","• Acción, Arcade",09-04-2020,"¡Pura acción arcade! Rediseñado con la visión original de los creadores! ¡Nuevos enemigos, jefes, música y efectos especiales añadidos!"
Null Drifter,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",09-04-2020,"Presentación minimalista, ¡acción maximizada!"
Black Rainbow,"9,99 €*","• Aventura, Puzle",09-04-2020,¿Sobrevivirás lo imposible?
Bridge! 3,"9,99 €*","• Arcade, Estrategia, Simulación",09-04-2020,"En Bridge 3!, podrás construir tus propios puentes y decidir hasta su límite de carga."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Arcade Archives FLAK ATTACK,"6,99 €*","• Arcade, Disparos (Shooter)",09-04-2020,¡Una encarnizada batalla por tierra y aire! Surca los cielos en combates aéreos de alta intensidad.
Gunbrick: Reloaded,"13,49 €*","• Acción, Arcade, Plataformas, Puzle",09-04-2020,Rueda y rueda a través de este puzle de plataforma plagado de acción.
Towertale,"8,99 €*","• Acción, Arcade, Aventura, Plataformas",08-04-2020,¡Cambia tu destino y lucha por sobrevivir en esta aventura narrativa en la que te verás las caras con jefes formidables!
Ubongo,"12,99 €*","• Fiesta, Puzle, Tablero",08-04-2020,"¡Ábrete paso a base de puzles por la sabana de baobabs, el río Colmillo y el cañón de los huesos, o vive Ubongo en grupo!"
Convoy: A Tactical Roguelike,"14,99 €*","• Acción, Aventura, Estrategia, Rol (RPG)",08-04-2020,Convoy es un roguelike táctico en el que cruzas un desierto en busca de piezas para tu nave espacial.
Galaxy of Pen & Paper +1 Edition,"12,49 €*","• Estrategia, Rol (RPG), Tablero",08-04-2020,Galaxy of Pen & Paper es un juego de rol por turnos que cuenta la historia de un grupo de jugadores que se dedicaban a tirar dados en el año 1999.
Pen and Paper Games Bundle,"29,99 €*","• Aventura, Estrategia, Rol (RPG), Tablero",08-04-2020,"¡Hazte con este paquete a precio reducido y consigue tres exitosos y galardonados juegos: Knights of Pen & Paper, Knights of Pen & Paper 2 y Galaxy of Pen and Paper!"
Disaster Report 4: Summer Memories,"59,99 €*","• Aventura, Simulación",07-04-2020,El mundo que conoces ha desaparecido
Grimvalor,"12,99 €*","• Acción, Aventura, Plataformas, Rol (RPG)",07-04-2020,Grimvalor es un galardonado juego de plataformas Hack and Slash de acción con mecánicas de combate y exploración atractivas.
12 Labours of Hercules II: The Cretan Bull,"7,99 €*","• Arcade, Aventura, Estrategia, Puzle",06-04-2020,¡Entra en el mundo mítico de la Antigua Grecia! ¡Conoce a tus héroes y dioses favoritos en este apasionante juego de estrategia y gestión del tiempo!
Push the Box - Puzzle Game,"4,99 €*","• Arcade, Estrategia, Puzle, Tablero",04-04-2020,Push boxes into their correct position with a minimal number of pushes and moves.
Drift Zone Arcade,"9,99 €*","• Arcade, Carreras",03-04-2020,¡Te damos la bienvenida al mundo de drift!
Random Heroes: Gold Edition,"4,99 €*","• Acción, Arcade, Disparos (Shooter), Plataformas",03-04-2020,¡Solo los héroes aleatorios pueden salvar la situación!
