Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
The Last Shot,"9,99 €*","• Aventura, Otros, Plataformas, Puzle",18-09-2024,Juego de aventuras de plataformas ambientado en un mundo diésel-punk devastado por la guerra.
A Night on the Farm,"4,99 €*",• Aventura,18-09-2024,¡Sobrevive a un horror rural después de un misterioso accidente automovilístico!
El Escudero Valiente,"29,99 €*","• Acción, Aventura, Plataformas, Puzle",17-09-2024,¡Una aventura que no cabe en un cuento!
"Get in the Car, Loser!","24,99 €*",• Rol (RPG),16-09-2024,A rowdy hot-blooded lesbian road trip RPG about fighting for love and justice in the face of indifference.
Dare to Spread: Army Turn Based Strategy,"4,99 €0,99 €*","• Arcade, Estrategia, Plataformas, Tablero",15-09-2024,Reforge the world. Your revolution starts now.
Loopy Tennis,"0,99 €*","• Acción, Arcade, Aventura, Deportes",14-09-2024,Tennis just got loopy!
Mech Wars,"4,99 €*",• Disparos (Shooter),14-09-2024,"Hace mucho tiempo, la raza Stenian vivía en armonía en el planeta Xelarvis, ayudada por sus mechas. Sin embargo, todo cambió cuando llegó la raza Kaxeder. Invadieron el mundo con la intención de destruirlo y conquistarlo."
Edge of Sanity,"19,99 €*","• Aventura, Estrategia",13-09-2024,Explora un mundo de locura y aférrate a tu humanidad.
Deep Beyond,"9,99 €*","• Acción, Aventura, Puzle",13-09-2024,Deep Beyond: un thriller interactivo en primera persona sobre una exploradora marina y el misterio detrás de la desaparición de su padre.
Samurai Kento,"4,99 €*","• Acción, Aventura, Plataformas",13-09-2024,¡Coge tu espada de samurái y salva el Japón feudal!
Moe Waifu H Genius,"4,99 €2,99 €*","• Acción, Puzle",13-09-2024,¡Conquista el corazón de las chicas con tu dominio del ritmo y la memoria!
Warzone Chronicles 2: Warfare Shooter Zombie,"9,99 €*","• Acción, Acción en primera persona (FPS), Disparos (Shooter), Simulación",13-09-2024,Survive the Evolving Nightmare: Outsmart Zombies in a Cityscape of Ruin.
Real Cake Maker,"7,99 €*","• Aventura, Entrenamiento, Estilo de vida, Simulación",13-09-2024,Coge la batidora y ¡que empiece la diversión!
Nimbusfall,"5,99 €*","• Acción, Arcade, Lucha, Plataformas",13-09-2024,Sumérgete en un nuevo y emocionante videojuego tipo boss rush donde la venganza es la única motivación.
Absolute Fear -AOONI-,"9,75 €*","• Acción, Aventura, Puzle",13-09-2024,"20 years after the birth of the legendary horror game ""AOONI""... A completely new first-person, 3D horror stealth action"
Garden Witch Life,"29,99 €*","• Aventura, Rol (RPG), Simulación",12-09-2024,¡Vive una reconfortante y divertida vida de bruja!
LOLLIPOP CHAINSAW RePOP,"44,99 €*",• Acción,12-09-2024,"¡Olvídate de la lógica y abraza tus instintos! ¡Juliet, la legendaria cazadora de zombis, por fin está de vuelta!"
Doomsday Paradise,"14,79 €*","• Aventura, Fiesta",12-09-2024,Can you get a date before the end of the world?
Line Time,"5,89 €*","• Entrenamiento, Estrategia, Puzle, Tablero",12-09-2024,Challenge yourself in this strategy puzzle game where you move a ball to its destination through a grid.
10-Second Ghost,"8,99 €3,59 €*","• Arcade, Estrategia, Plataformas, Puzle",12-09-2024,A creative indie game from GameJam. Your past self will turn into a ghost and help your current self solve the puzzle together.
Caravan SandWitch,"24,99 €*","• Acción, Aventura, Plataformas, Puzle",12-09-2024,"Visita vastas zonas en Caravan SandWitch, una aventura de exploración narrativa."
NanoApostle,"19,99 €*","• Acción, Estrategia, Lucha, Rol (RPG)",12-09-2024,¡Combate contra jefes atroces en este oscuro título de ciencia ficción!
MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,"49,99 €*","• Arcade, Lucha",12-09-2024,¡Vuelven los legendarios combates entre luchadores de diferentes universos!
METRO QUESTER | OSAKA,"19,99 €*","• Aventura, Estrategia, Rol (RPG), Simulación",12-09-2024,¡Descubre la verdad del mundo perdido en Osaka! Un RPG de exploración de mazmorras hack and slash.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Make it! Crepe,"5,00 €*","• Arcade, Comunicación, Fiesta, Puzle",12-09-2024,¡Es hora de un desafío delicioso de hacer crepes! ¡Haz tantos como puedas y observa cómo prospera tu carrito de comida!
Jackbox Naughty Pack,"19,99 €*","• Comunicación, Fiesta, Otros",12-09-2024,Caldea el ambiente con un trío de diversión en Jackbox Naughty Pack.
GoobyGlobosDX,"9,75 €*","• Acción, Arcade, Disparos (Shooter)",12-09-2024,"¡Lucha contra globos malvados y salva la galaxia, solo o en equipo! Viaja entre mundos, rescata amigos y enfréntate a jefes en esta aventura arcade."
Road Defense: Outsiders,"4,99 €*","• Acción, Arcade, Aventura, Disparos (Shooter)",12-09-2024,Road Defense: Outsiders es un juego que combina roguelike y defensa de torres. ¡Mejora las torres y tus propias habilidades para poder aniquilar toda la vida a tu alrededor!
Beneath Oresa,"21,99 €8,79 €*",• Estrategia,12-09-2024,Beneath Oresa es un juego de mazmorras con construcción de mazos. Enfréntate a tus enemigos en arenas tácticas situadas en las profundidades de la ciudad.
Arcade Archives VS. BATTLE CITY,"6,99 €*","• Arcade, Disparos (Shooter)",12-09-2024,Take down the enemy tank corps and hold your HQ to the end!
Sugoi Girls: Mighty Mecha,"8,99 €2,99 €*","• Acción, Otros, Puzle, Uso práctico",12-09-2024,¡Conoce a más de 50 atractivas chicas de anime en este rompecabezas relajante!
Robot vs Monsters,"7,99 €*","• Arcade, Disparos (Shooter), Otros, Simulación",12-09-2024,Robot vs Monsters te enfrenta a implacables oleadas de enemigos mientras controlas a un poderoso robot en un mundo de arriba abajo.
Drift Odyssey,"3,99 €*","• Arcade, Carreras, Deportes, Simulación",12-09-2024,"Skid into the thrilling world of ""Drift Odyssey,"" where city streets become your playground and roaring engines fuel your legend. Experience drifting like never before!"
Hashihime of the Old Book Town append　fullscreen,"15,54 €*",• Aventura,12-09-2024,"What is real, and what is a hallucination? In this pop-occult mystery that surrounds the deaths of his friends…"
CATS BASEBALL,"7,17 €*","• Acción, Deportes, Fiesta, Tablero",12-09-2024,"Este es un juego de béisbol en el que el resultado se decide con dados. ¡Incluso si no conoces las reglas del béisbol, cualquiera p"
Just 1 Minute! Memory Test with Masterpieces,"2,49 €*","• Educativo, Entrenamiento, Fiesta",12-09-2024,Which Hand Was on Top in the Mona Lisa’s Lap? Test Your Memory with Famous Paintings in Just One Minute!
